URI,HW3 Mementos,Current Mementos,Difference,HW3 File,Current File
https://www.linkedin.com/school/old-dominion-university/,3,33,30,timemap_147.json.gz,timemap_f00d8d088d82dc59601f31387495e46a.json.gz
https://www.odu.edu/tuition-aid/tuition/military,59,63,4,timemap_149.json.gz,timemap_b888c1304aad38d83cbdc0cf8313b56a.json.gz
https://www.transit.dot.gov/,1600,9580,7980,timemap_15.json.gz,timemap_a4ca014296717e860bfc28317bbad10b.json.gz
https://www.odu.edu/tuition-aid,36,288,252,timemap_150.json.gz,timemap_d289b5cb4d7eb6ac1556fe0f7355c043.json.gz
https://www.odu.edu/visit,7,8,1,timemap_152.json.gz,timemap_4aeb566bcaae0d3780d238d298956268.json.gz
https://www.odu.edu/about/odu-publications/monarch-magazine/issue/winter-2017/jennifer-fish,12,33,21,timemap_153.json.gz,timemap_ac0beda6640f7074c4ca2ffbf04a9024.json.gz
https://www.odu.edu/,2768,11347,8579,timemap_155.json.gz,timemap_bfcbd7c748d59fdbc5577435671dc5b1.json.gz
https://www.odu.edu/facultydevelopment,64,73,9,timemap_156.json.gz,timemap_dfe4f067b315e9af8cc0b024a511b39c.json.gz
https://www.odu.edu/research-0,7,37,30,timemap_157.json.gz,timemap_4eb1d913502d08a092762b06cdca73d6.json.gz
https://www.odu.edu/counselingservices,125,130,5,timemap_158.json.gz,timemap_63625e7e067c2880b6d3358a800fbfe1.json.gz
https://www.odu.edu/academics,423,433,10,timemap_159.json.gz,timemap_363f8db0dd4c8a83218aa5c8ba3027e2.json.gz
https://students.risd.edu/health-and-wellness,5,26,21,timemap_16.json.gz,timemap_f8d48405902dff8fa8a1e8bbe6a05a69.json.gz
https://www.odu.edu/parkingservices,159,170,11,timemap_160.json.gz,timemap_9e8af6a45eede56ffa2f75a241636d47.json.gz
https://www.odu.edu/leadership-learning/service,80,87,7,timemap_161.json.gz,timemap_8fae9e25cac9d28ee91da1a4142b67e6.json.gz
https://www.odu.edu/international,268,277,9,timemap_162.json.gz,timemap_37d03a9566fd7315d242413d6575526f.json.gz
https://www.odu.edu/directory,376,396,20,timemap_163.json.gz,timemap_36335f91976c4ce4dea18573ca3a7235.json.gz
https://www.odu.edu/al/triad,93,98,5,timemap_164.json.gz,timemap_b9c04a8f7e2e52e93854636d9c84f229.json.gz
https://www.odu.edu/life/culture/arts,34,201,167,timemap_165.json.gz,timemap_8dcd252c1fb22d446b6734fbb689fe33.json.gz
https://www.odu.edu/academics/programs?field_degree_type_target_id%5B0%5D=2682,42,49,7,timemap_166.json.gz,timemap_2de181689e8abf8ae7506f0c8b58aa88.json.gz
https://www.odu.edu/al/academics/minors,60,64,4,timemap_167.json.gz,timemap_90af814b7cc486504c604ef9a4ed5621.json.gz
https://www.odu.edu/success/academic/advising/advisors,106,108,2,timemap_168.json.gz,timemap_60a7ed31813d5170240e4a2e93894ff8.json.gz
https://www.odu.edu/armyrotc,122,131,9,timemap_169.json.gz,timemap_4ba82be677824dc89dfcf6c6acdbb0b4.json.gz
https://www.ripta.com/how-to-ride/,2,42,40,timemap_17.json.gz,timemap_e8db0a8f69f4febb3ad29cbe5d35cd51.json.gz
https://www.odu.edu/admission/admitted/international,117,125,8,timemap_170.json.gz,timemap_99e35b9dfd2842145c6fdabc2dbb9a5e.json.gz
https://www.odu.edu/admission/international,393,403,10,timemap_171.json.gz,timemap_b4f297cb9285f52ee45e928177d02999.json.gz
https://www.odu.edu/life/diversity,193,195,2,timemap_172.json.gz,timemap_e3f64c1dde69ccc06fe38db199bcfeba.json.gz
https://www.odu.edu/academics/student-computing/student-email,18,102,84,timemap_173.json.gz,timemap_52a2ae5da0989f1bbebd61b3741e1023.json.gz
https://www.odu.edu/news/2019/12/hampton_mural,50,108,58,timemap_174.json.gz,timemap_c1ac1797b9ea953bb8c3099a94d76bf0.json.gz
https://www.odu.edu/article/through-giandoni-awards-alum-provides-opportunities-to-history-students,8,12,4,timemap_175.json.gz,timemap_c0980e903bec655c0b0f26a0953f02e7.json.gz
https://www.odu.edu/al/resources/faculty,19,68,49,timemap_176.json.gz,timemap_1d87237fb93d740583ac820801240f0b.json.gz
https://www.odu.edu/finaidoffice,25,176,151,timemap_177.json.gz,timemap_50331f43be7a50da4eff51799b7f2369.json.gz
https://www.odu.edu/life,33,275,242,timemap_178.json.gz,timemap_91698d150d90684e8bb2c39dadd34b41.json.gz
https://www.odu.edu/vendors,25,86,61,timemap_179.json.gz,timemap_46d8bc4647e77b3a654414e53eabf6c9.json.gz
